"ADM3_PCODE","N","S1","S2","S3"
"161106","0","55739","4372","400"
"170101","0","5897","0","0"
"170102","0","10692","0","0"
"170103","0","7926","0","0"
"170104","0","8959","0","0"
"170106","0","12101","0","0"
"170107","0","1006","0","0"
"170108","0","8391","0","0"
"170201","0","9142","0","0"
"170202","0","6099","0","0"
"170203","0","8575","0","0"
"170204","0","9691","0","0"
"170206","0","1574","0","0"
"170207","0","5170","0","0"
"170208","0","7840","0","0"
"170301","0","2597","0","0"
"170302","0","7003","0","0"
"170303","0","7561","0","0"
"170304","0","4779","0","0"
"170305","0","7905","0","0"
"170306","0","5166","0","0"
"170401","0","7528","0","0"
"170402","0","11320","0","0"
"170403","0","8742","0","0"
"170404","0","8112","0","0"
"170405","0","3863","0","0"
"170406","0","8514","0","0"
"170407","0","7886","0","0"
"170501","0","6399","0","0"
"170502","0","1654","0","0"
"170503","0","6874","0","0"
"170504","0","8353","0","0"
"170601","0","9103","0","0"
"170602","0","7917","0","0"
"170603","0","6350","0","0"
"170604","0","1040","0","0"
"170605","0","8716","0","0"
"170606","0","8826","0","0"
"170607","0","7062","0","0"
"170608","0","1956","0","0"
"170609","0","1063","0","0"
"180101","0","1768","0","0"
"180102","0","15897","0","0"
"180103","0","12141","0","0"
"180104","0","20725","0","0"
"180105","11","1825","0","6"
"180106","12","6919","0","0"
"180107","29","1463","152","0"
"180109","0","9649","0","0"
"180201","0","0","0","0"
"180203","0","157","0","0"
"180204","0","431","0","0"
"180205","0","2543","8265","0"
"180206","47","1114","13885","122"
"180207","224","1423","8036","0"
"180301","0","2","0","0"
"180302","0","3779","0","0"
"180303","0","6292","0","0"
"180306","1397","3131","0","0"
"180307","138","0","0","0"
"180311","840","7463","8765","1525"
"180401","0","13246","0","0"
"180402","0","8619","0","0"
"180403","0","956","0","0"
"180404","0","10497","0","0"
"180405","0","13370","0","0"
"180406","0","20269","0","0"
"180407","0","12887","0","0"
"180501","0","22741","0","0"
"180502","0","18184","0","0"
"180503","0","5742","0","0"
"180504","0","13717","0","0"
"180505","0","6742","0","0"
"180506","0","4766","0","0"
"180507","0","6879","0","0"
"180508","0","6260","0","0"
"180601","172","5012","5","0"
"180602","79","14350","0","199"
"180605","2845","23125","8907","880"
"180606","4450","15046","15799","8177"
"180607","0","9513","0","0"
"180608","0","11058","0","0"
"180609","757","1944","5743","0"
"180611","0","12546","0","0"
"180701","167","5720","19065","71"
"180702","313","2670","11619","276"
"180703","9","7563","12980","15"
"180704","91","30","20","0"
"180801","260","19857","4062","855"
"180802","37","8795","5704","798"
"180803","15","5841","0","620"
"190109","0","0","425","0"
"190110","22","0","0","0"
